Timestamp	Event type	Contents
02:00:05.686 382 200	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:param_data-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 384 540	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:param_data-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 384 860	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pfmap_out_data-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 494 860	XFER_STOP	name=hw_conv_mpool_dfp_1_if:S_AXIS_FIFO_0[0], file=dbg_file, line=9, column=42
02:00:05.686 815 180	ACC_STOP	name=hw_conv_mpool_dfp_1[0], file=dbg_file, line=9, column=42
02:00:05.686 815 270	XFER_STOP	name=hw_conv_mpool_dfp_1_if:M_AXIS_FIFO_0[0], file=dbg_file, line=9, column=42
02:00:05.686 818 130	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pfmap_out_data-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 818 600	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:h_in-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 819 380	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:h_in-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 819 740	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:w_in-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 820 140	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:w_in-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 820 480	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_in-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 820 940	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_in-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 821 260	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_out-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 821 750	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_out-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 822 060	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pad-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 822 460	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pad-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 822 780	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:kernel-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 823 180	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:kernel-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 823 500	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:stride-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 823 900	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:stride-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 824 220	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ei-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 824 620	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ei-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 824 940	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:eo-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 825 340	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:eo-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 825 660	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ep-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 826 060	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ep-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 826 420	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:use_relu-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 826 820	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:use_relu-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 827 140	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ppad-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 827 600	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ppad-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 827 920	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pkernel-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 828 410	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pkernel-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 828 730	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pstride-wait[0], file=dbg_file, line=9, column=42
02:00:05.686 829 140	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pstride-wait[0], file=dbg_file, line=9, column=42
02:00:06.738 139 510	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync-cmdSend[0], file=dbg_file, line=9, column=42
02:00:06.738 143 680	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync-cmdSend[0], file=dbg_file, line=9, column=42
02:00:06.738 144 090	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync-cmdWait[0], file=dbg_file, line=9, column=42
02:00:06.738 145 300	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync-cmdWait[0], file=dbg_file, line=9, column=42
02:00:06.738 145 600	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:fmap_in_data-send[0], file=dbg_file, line=9, column=42
02:00:06.738 150 560	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:fmap_in_data-send[0], file=dbg_file, line=9, column=42
02:00:06.738 150 860	XFER_START	name=hw_conv_mpool_dfp_1_if:S_AXIS_FIFO_0[0], file=dbg_file, line=9, column=42
02:00:06.738 150 870	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:param_data-send[0], file=dbg_file, line=9, column=42
02:00:06.738 153 760	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:param_data-send[0], file=dbg_file, line=9, column=42
02:00:06.738 153 910	XFER_START	name=hw_conv_mpool_dfp_1_if:S_AXIS_FIFO_1[0], file=dbg_file, line=9, column=42
02:00:06.738 154 080	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:h_in-send[0], file=dbg_file, line=9, column=42
02:00:06.738 155 200	XFER_STOP	name=hw_conv_mpool_dfp_1_if:S_AXIS_FIFO_1[0], file=dbg_file, line=9, column=42
02:00:06.738 155 760	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:h_in-send[0], file=dbg_file, line=9, column=42
02:00:06.738 156 080	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:w_in-send[0], file=dbg_file, line=9, column=42
02:00:06.738 157 270	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:w_in-send[0], file=dbg_file, line=9, column=42
02:00:06.738 157 590	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_in-send[0], file=dbg_file, line=9, column=42
02:00:06.738 158 800	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_in-send[0], file=dbg_file, line=9, column=42
02:00:06.738 159 120	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_out-send[0], file=dbg_file, line=9, column=42
02:00:06.738 160 460	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_out-send[0], file=dbg_file, line=9, column=42
02:00:06.738 160 780	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pad-send[0], file=dbg_file, line=9, column=42
02:00:06.738 161 880	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pad-send[0], file=dbg_file, line=9, column=42
02:00:06.738 162 200	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:kernel-send[0], file=dbg_file, line=9, column=42
02:00:06.738 163 340	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:kernel-send[0], file=dbg_file, line=9, column=42
02:00:06.738 163 660	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:stride-send[0], file=dbg_file, line=9, column=42
02:00:06.738 164 890	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:stride-send[0], file=dbg_file, line=9, column=42
02:00:06.738 165 210	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ei-send[0], file=dbg_file, line=9, column=42
02:00:06.738 166 470	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ei-send[0], file=dbg_file, line=9, column=42
02:00:06.738 166 790	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:eo-send[0], file=dbg_file, line=9, column=42
02:00:06.738 167 920	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:eo-send[0], file=dbg_file, line=9, column=42
02:00:06.738 168 240	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ep-send[0], file=dbg_file, line=9, column=42
02:00:06.738 169 370	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ep-send[0], file=dbg_file, line=9, column=42
02:00:06.738 169 690	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:use_relu-send[0], file=dbg_file, line=9, column=42
02:00:06.738 170 950	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:use_relu-send[0], file=dbg_file, line=9, column=42
02:00:06.738 171 270	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ppad-send[0], file=dbg_file, line=9, column=42
02:00:06.738 172 500	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ppad-send[0], file=dbg_file, line=9, column=42
02:00:06.738 172 820	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pkernel-send[0], file=dbg_file, line=9, column=42
02:00:06.738 173 920	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pkernel-send[0], file=dbg_file, line=9, column=42
02:00:06.738 174 240	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pstride-send[0], file=dbg_file, line=9, column=42
02:00:06.738 175 140	ACC_START	name=hw_conv_mpool_dfp_1[0], file=dbg_file, line=9, column=42
02:00:06.738 175 360	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pstride-send[0], file=dbg_file, line=9, column=42
02:00:06.738 175 680	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pfmap_out_data-receive[0], file=dbg_file, line=9, column=42
02:00:06.738 178 290	XFER_START	name=hw_conv_mpool_dfp_1_if:M_AXIS_FIFO_0[0], file=dbg_file, line=9, column=42
02:00:06.738 178 500	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pfmap_out_data-receive[0], file=dbg_file, line=9, column=42
02:00:06.738 178 840	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:fmap_in_data-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 728 160	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:fmap_in_data-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 728 500	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:param_data-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 729 740	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:param_data-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 730 070	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pfmap_out_data-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 759 490	XFER_STOP	name=hw_conv_mpool_dfp_1_if:S_AXIS_FIFO_0[0], file=dbg_file, line=9, column=42
02:00:06.739 827 670	ACC_STOP	name=hw_conv_mpool_dfp_1[0], file=dbg_file, line=9, column=42
02:00:06.739 827 760	XFER_STOP	name=hw_conv_mpool_dfp_1_if:M_AXIS_FIFO_0[0], file=dbg_file, line=9, column=42
02:00:06.739 830 720	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pfmap_out_data-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 831 070	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:h_in-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 831 580	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:h_in-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 831 900	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:w_in-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 832 300	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:w_in-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 832 620	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_in-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 833 020	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_in-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 833 340	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_out-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 833 740	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ch_out-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 834 050	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pad-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 834 450	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pad-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 834 770	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:kernel-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 835 170	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:kernel-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 835 490	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:stride-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 835 890	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:stride-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 836 210	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ei-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 836 610	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ei-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 836 930	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:eo-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 837 330	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:eo-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 837 650	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ep-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 838 050	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ep-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 838 370	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:use_relu-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 838 770	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:use_relu-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 839 090	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:ppad-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 839 490	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:ppad-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 839 810	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pkernel-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 840 270	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pkernel-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 840 590	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:pstride-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 840 990	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:pstride-wait[0], file=dbg_file, line=9, column=42
02:00:06.739 843 170	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync-cmdSend[0], file=dbg_file, line=9, column=42
02:00:06.739 844 000	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync-cmdSend[0], file=dbg_file, line=9, column=42
02:00:06.739 844 320	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync-cmdWait[0], file=dbg_file, line=9, column=42
02:00:06.739 844 720	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync-cmdWait[0], file=dbg_file, line=9, column=42
02:00:06.739 845 040	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:fmap_in_data-send[0], file=dbg_file, line=9, column=42
02:00:06.739 846 830	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:fmap_in_data-send[0], file=dbg_file, line=9, column=42
02:00:06.739 846 980	XFER_START	name=hw_conv_mpool_dfp_1_if:S_AXIS_FIFO_0[0], file=dbg_file, line=9, column=42
02:00:06.739 847 140	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:param_data-send[0], file=dbg_file, line=9, column=42
02:00:06.739 848 900	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:param_data-send[0], file=dbg_file, line=9, column=42
02:00:06.739 849 060	XFER_START	name=hw_conv_mpool_dfp_1_if:S_AXIS_FIFO_1[0], file=dbg_file, line=9, column=42
02:00:06.739 849 200	SW_START	name=_p0_hw_conv_mpool_dfp_1_noasync:h_in-send[0], file=dbg_file, line=9, column=42
02:00:06.739 850 250	SW_STOP	name=_p0_hw_conv_mpool_dfp_1_noasync:h_in-send[0], file=dbg_file, line=9, column=42
